fact_table_natural_key (txn_id) 	accm_txn_complete_time
140	5/23/2022 18:30
141	5/21/2022 15:41
142	5/19/2022 4:49
143	5/18/2022 4:42
144	5/25/2022 6:52
145	5/19/2022 5:36
146	5/21/2022 6:57
147	5/22/2022 18:30
148	5/24/2022 14:47
149	5/21/2022 6:53
150	5/17/2022 7:36
151	5/20/2022 16:48
152	5/22/2022 14:42
153	5/23/2022 23:35
154	5/16/2022 23:18
155	5/25/2022 7:46
156	5/19/2022 23:15
157	5/24/2022 11:37
158	5/23/2022 4:32
159	5/16/2022 17:35
160	5/16/2022 22:46
161	5/18/2022 10:19
162	5/25/2022 8:39
163	5/19/2022 20:19
164	5/24/2022 12:46
165	5/21/2022 16:55
166	5/21/2022 4:42
167	5/24/2022 22:37
168	5/16/2022 14:17
169	5/21/2022 2:51
170	5/22/2022 12:27
171	5/18/2022 12:12
172	5/25/2022 4:46
173	5/20/2022 0:35
174	5/24/2022 2:03
175	5/19/2022 5:58
176	5/20/2022 11:31
177	5/17/2022 11:00
178	5/25/2022 6:20
179	5/22/2022 20:12
180	5/19/2022 22:50
181	5/22/2022 10:58
182	5/22/2022 11:58
183	5/21/2022 19:10
184	5/23/2022 23:47
185	5/19/2022 13:32
186	5/19/2022 16:07
187	5/23/2022 4:19
188	5/23/2022 19:05
189	5/18/2022 6:55
190	5/20/2022 0:21
191	5/24/2022 18:39
192	5/23/2022 8:36
193	5/22/2022 21:45
194	5/25/2022 4:39
195	5/25/2022 6:36
196	5/24/2022 18:49
197	5/22/2022 19:23
198	5/18/2022 14:49
199	5/21/2022 23:43
200	5/23/2022 13:15
201	5/18/2022 3:33
202	5/18/2022 15:52
203	5/19/2022 20:14
204	5/20/2022 4:57
205	5/19/2022 3:24
206	5/22/2022 21:50
207	5/23/2022 23:05
208	5/24/2022 7:49
209	5/24/2022 23:21
210	5/20/2022 2:20
211	5/21/2022 3:06
212	5/17/2022 9:17
213	5/23/2022 3:23
214	5/22/2022 3:37
215	5/19/2022 3:59
216	5/19/2022 11:26
217	5/21/2022 15:53
218	5/25/2022 8:16
219	5/21/2022 15:49
220	5/22/2022 20:04
221	5/24/2022 12:36
222	5/17/2022 10:33
223	5/22/2022 0:37
224	5/17/2022 23:13
225	5/17/2022 21:05
226	5/17/2022 11:41
227	5/20/2022 11:07
228	5/23/2022 10:10
229	5/17/2022 2:24
230	5/19/2022 2:42
231	5/22/2022 1:26
232	5/19/2022 15:14
233	5/21/2022 21:46
234	5/19/2022 17:46
235	5/17/2022 12:42
236	5/16/2022 22:22
237	5/22/2022 12:02
238	5/24/2022 13:50
239	5/23/2022 6:53
240	5/21/2022 6:15
241	5/16/2022 17:58
242	5/19/2022 6:31
243	5/19/2022 0:46
244	5/23/2022 0:03
245	5/25/2022 2:42
246	5/21/2022 4:03
247	5/19/2022 7:11
248	5/21/2022 15:38
249	5/18/2022 17:37
250	5/22/2022 22:56
251	5/18/2022 18:07
252	5/19/2022 21:34
253	5/17/2022 7:27
254	5/20/2022 4:56
255	5/20/2022 0:29
256	5/25/2022 2:06
257	5/23/2022 3:19
258	5/18/2022 7:18
259	5/20/2022 8:33
260	5/23/2022 16:02
261	5/22/2022 5:19
262	5/22/2022 1:43
263	5/20/2022 11:49
264	5/25/2022 2:11
265	5/23/2022 5:36
266	5/19/2022 16:15
267	5/17/2022 9:25
268	5/17/2022 22:59
269	5/24/2022 11:39
270	5/19/2022 9:18
271	5/24/2022 0:51
272	5/17/2022 22:55
273	5/22/2022 10:56
274	5/20/2022 19:58
275	5/24/2022 1:12
276	5/23/2022 7:16
277	5/21/2022 23:51
278	5/24/2022 16:51
279	5/18/2022 18:12
280	5/23/2022 14:35
281	5/19/2022 17:28
282	5/23/2022 17:34
283	5/19/2022 9:44
284	5/25/2022 1:29
285	5/19/2022 10:21
286	5/18/2022 10:35
287	5/17/2022 4:59
288	5/22/2022 15:06
289	5/20/2022 14:03
290	5/20/2022 0:49
291	5/17/2022 18:30
292	5/18/2022 16:07
293	5/21/2022 14:13
294	5/25/2022 4:12
295	5/24/2022 20:55
296	5/25/2022 2:26
297	5/23/2022 4:10
298	5/17/2022 12:17
299	5/19/2022 7:09
300	5/16/2022 23:06
301	5/18/2022 11:36
302	5/21/2022 22:12
303	5/18/2022 9:47
304	5/17/2022 8:05
305	5/16/2022 23:24
306	5/19/2022 21:14
307	5/16/2022 18:48
308	5/22/2022 20:52
309	5/18/2022 21:50
310	5/22/2022 3:08
311	5/17/2022 12:52
312	5/19/2022 13:12
313	5/23/2022 12:06
314	5/17/2022 18:46
315	5/16/2022 17:17
316	5/20/2022 8:52
317	5/16/2022 17:30
318	5/23/2022 7:31
319	5/23/2022 9:02
320	5/17/2022 19:56
321	5/17/2022 11:01
322	5/21/2022 5:50
323	5/24/2022 23:20
324	5/21/2022 4:02
325	5/16/2022 20:36
326	5/24/2022 4:11
327	5/16/2022 13:25
328	5/19/2022 11:40
329	5/17/2022 14:16
330	5/17/2022 18:33
331	5/23/2022 22:50
332	5/17/2022 20:36
333	5/16/2022 22:24
334	5/22/2022 10:43
335	5/18/2022 12:15
336	5/19/2022 22:21
337	5/23/2022 3:43
338	5/19/2022 17:29
339	5/20/2022 9:10
340	5/18/2022 9:12
341	5/22/2022 8:55
342	5/23/2022 16:12
343	5/25/2022 4:06
344	5/21/2022 8:22
345	5/21/2022 13:28
346	5/19/2022 2:43
347	5/25/2022 6:44
348	5/23/2022 18:40
349	5/18/2022 5:06
350	5/23/2022 5:55
351	5/17/2022 0:42
352	5/23/2022 18:14
353	5/21/2022 4:03
354	5/23/2022 0:08
355	5/18/2022 1:34
356	5/18/2022 19:23
357	5/25/2022 2:20
358	5/19/2022 20:45
359	5/21/2022 2:08
360	5/18/2022 1:01
361	5/24/2022 19:03
362	5/21/2022 4:24
363	5/21/2022 6:40
364	5/19/2022 13:02
365	5/17/2022 23:34
366	5/19/2022 8:54
367	5/21/2022 21:14
368	5/23/2022 9:04
369	5/21/2022 22:19
370	5/17/2022 11:31
371	5/18/2022 22:53
372	5/23/2022 19:37
373	5/23/2022 5:54
374	5/23/2022 3:07
375	5/17/2022 17:42
376	5/20/2022 5:18
377	5/20/2022 11:42
378	5/19/2022 18:08
379	5/22/2022 1:40
380	5/21/2022 18:05
381	5/18/2022 11:20
382	5/22/2022 2:27
383	5/24/2022 12:12
384	5/18/2022 12:20
385	5/20/2022 19:31
386	5/18/2022 14:53
387	5/21/2022 0:49
388	5/21/2022 3:18
389	5/16/2022 21:39
390	5/18/2022 21:15
391	5/22/2022 14:53
392	5/19/2022 13:42
393	5/20/2022 18:42
394	5/23/2022 11:40
395	5/24/2022 6:05
396	5/21/2022 8:11
397	5/18/2022 1:14
398	5/16/2022 18:26
399	5/21/2022 10:50
400	5/17/2022 6:45
401	5/16/2022 22:26
402	5/21/2022 3:34
403	5/21/2022 4:50
404	5/17/2022 8:10
405	5/19/2022 7:53
406	5/18/2022 8:11
407	5/24/2022 12:00
408	5/19/2022 5:36
409	5/23/2022 20:44
410	5/19/2022 15:46
411	5/23/2022 10:00
412	5/23/2022 10:53
413	5/17/2022 18:11
414	5/18/2022 4:02
415	5/20/2022 4:02
416	5/23/2022 9:47
417	5/24/2022 6:28
418	5/19/2022 8:11
419	5/19/2022 5:02
420	5/18/2022 17:44
421	5/20/2022 0:19
422	5/23/2022 9:42
423	5/22/2022 23:34
424	5/22/2022 15:33
425	5/24/2022 23:09
426	5/21/2022 15:12
427	5/24/2022 9:41
428	5/23/2022 20:34
429	5/21/2022 9:50
430	5/18/2022 1:27
431	5/24/2022 21:25
432	5/24/2022 2:47
433	5/21/2022 19:15
434	5/24/2022 7:59
435	5/18/2022 5:56
436	5/23/2022 22:38
437	5/19/2022 11:37
438	5/24/2022 15:50
439	5/19/2022 18:25
440	5/18/2022 10:07
441	5/23/2022 14:40
442	5/22/2022 14:07
443	5/17/2022 15:56
444	5/23/2022 20:06
445	5/16/2022 16:24
446	5/16/2022 18:36
447	5/19/2022 0:26
448	5/17/2022 3:56
449	5/16/2022 13:31
450	5/20/2022 14:24
451	5/23/2022 18:22
452	5/21/2022 5:50
453	5/18/2022 10:33
454	5/20/2022 17:13
455	5/21/2022 23:08
456	5/23/2022 11:17
457	5/20/2022 11:19
458	5/24/2022 10:18
459	5/24/2022 20:52
460	5/20/2022 19:35
461	5/23/2022 17:36
462	5/21/2022 2:01
463	5/22/2022 17:01
464	5/16/2022 17:09
465	5/20/2022 14:33
466	5/20/2022 20:27
467	5/23/2022 15:13
468	5/19/2022 10:00
469	5/18/2022 11:42
470	5/16/2022 19:55
471	5/24/2022 16:56
472	5/19/2022 7:21
473	5/18/2022 21:50
474	5/18/2022 9:41
475	5/23/2022 21:30
476	5/21/2022 12:35
477	5/21/2022 2:15
478	5/19/2022 19:41
479	5/18/2022 14:37
480	5/23/2022 18:16
481	5/22/2022 22:47
482	5/21/2022 4:57
483	5/22/2022 18:00
484	5/24/2022 19:52
485	5/24/2022 10:19
486	5/23/2022 5:48
487	5/16/2022 13:48
488	5/19/2022 5:42
489	5/18/2022 6:02
490	5/18/2022 22:22
491	5/21/2022 11:06
492	5/19/2022 0:36
493	5/25/2022 8:21
494	5/24/2022 2:14
495	5/21/2022 22:55
496	5/21/2022 5:53
497	5/18/2022 22:30
498	5/21/2022 7:00
499	5/21/2022 1:15
500	5/23/2022 5:09
501	5/22/2022 2:57
502	5/23/2022 6:11
503	5/25/2022 2:51
504	5/17/2022 3:24
505	5/23/2022 0:29
506	5/17/2022 9:32
507	5/22/2022 16:33
508	5/18/2022 13:46
509	5/22/2022 16:43
510	5/23/2022 16:20
511	5/20/2022 2:07
512	5/20/2022 22:50
513	5/21/2022 12:17
514	5/20/2022 4:07
515	5/17/2022 3:42
516	5/21/2022 20:12
517	5/18/2022 3:46
518	5/17/2022 2:04
519	5/18/2022 18:20
520	5/17/2022 3:31
521	5/21/2022 21:42
522	5/17/2022 23:12
523	5/21/2022 8:55
524	5/23/2022 11:03
525	5/22/2022 6:27
526	5/20/2022 10:44
527	5/16/2022 18:36
528	5/18/2022 6:59
529	5/22/2022 5:18
530	5/18/2022 14:04
531	5/20/2022 0:37
532	5/19/2022 5:44
533	5/20/2022 18:57
534	5/16/2022 19:52
535	5/22/2022 0:44
536	5/25/2022 5:25
537	5/17/2022 22:14
538	5/22/2022 12:12
539	5/18/2022 3:43
540	5/21/2022 18:51
541	5/22/2022 4:01
542	5/22/2022 11:52
543	5/16/2022 12:34
544	5/24/2022 10:32
545	5/19/2022 18:29
546	5/21/2022 0:50
547	5/19/2022 19:11
548	5/16/2022 22:51
549	5/24/2022 15:00
550	5/20/2022 14:25
551	5/20/2022 7:33
552	5/19/2022 9:25
553	5/16/2022 14:15
554	5/19/2022 23:25
555	5/21/2022 21:57
556	5/17/2022 5:35
557	5/19/2022 19:38
558	5/22/2022 21:53
559	5/22/2022 10:20
560	5/22/2022 17:07
561	5/18/2022 6:53
562	5/20/2022 19:52
563	5/23/2022 13:33
564	5/22/2022 3:08
565	5/18/2022 6:46
566	5/16/2022 20:16
567	5/22/2022 21:12
568	5/21/2022 11:44
569	5/23/2022 19:24
570	5/17/2022 2:33
571	5/18/2022 22:19
572	5/20/2022 5:30
573	5/20/2022 15:33
574	5/20/2022 5:16
575	5/25/2022 8:41
576	5/16/2022 20:33
577	5/21/2022 10:26
578	5/23/2022 6:41
579	5/22/2022 3:53
580	5/21/2022 16:10
581	5/20/2022 8:12
582	5/25/2022 4:03
583	5/22/2022 7:31
584	5/23/2022 3:44
585	5/18/2022 20:01
586	5/21/2022 14:20
587	5/22/2022 16:33
588	5/16/2022 18:35
589	5/24/2022 5:51
590	5/21/2022 4:43
591	5/22/2022 4:25
592	5/21/2022 22:59
593	5/19/2022 2:14
594	5/17/2022 11:47
595	5/21/2022 23:33
596	5/21/2022 14:31
597	5/25/2022 4:13
598	5/24/2022 22:32
599	5/21/2022 23:17
600	5/16/2022 22:05
601	5/19/2022 20:36
602	5/21/2022 23:32
603	5/16/2022 23:15
604	5/17/2022 20:18
605	5/24/2022 21:00
606	5/17/2022 18:13
607	5/16/2022 20:57
608	5/24/2022 20:22
609	5/16/2022 16:20
610	5/16/2022 21:23
611	5/19/2022 16:46
612	5/17/2022 22:35
613	5/16/2022 18:01
614	5/23/2022 1:14
615	5/16/2022 15:39
616	5/16/2022 15:43
617	5/16/2022 16:19
618	5/17/2022 2:10
619	5/21/2022 14:37
620	5/21/2022 22:05
621	5/17/2022 17:51
622	5/22/2022 12:46
623	5/21/2022 20:16
624	5/18/2022 12:07
625	5/18/2022 7:22
626	5/25/2022 1:48
627	5/18/2022 8:15
628	5/19/2022 5:57
629	5/23/2022 13:27
630	5/19/2022 21:59
631	5/20/2022 12:14
632	5/21/2022 10:36
633	5/17/2022 17:57
634	5/17/2022 9:04
635	5/23/2022 7:02
636	5/17/2022 6:31
637	5/17/2022 5:24
638	5/17/2022 16:18
639	5/24/2022 22:06
640	5/23/2022 19:21
641	5/22/2022 15:07
642	5/23/2022 5:28
643	5/19/2022 6:32
644	5/17/2022 21:52
645	5/20/2022 17:47
646	5/20/2022 6:09
647	5/24/2022 21:00
648	5/25/2022 3:17
649	5/24/2022 1:03
650	5/22/2022 21:26
651	5/18/2022 22:35
652	5/22/2022 10:01
653	5/19/2022 16:19
654	5/23/2022 23:58
655	5/22/2022 19:05
656	5/21/2022 10:08
657	5/19/2022 12:14
658	5/20/2022 12:02
659	5/24/2022 9:08
660	5/18/2022 18:13
661	5/21/2022 11:55
662	5/17/2022 22:16
663	5/22/2022 7:22
664	5/18/2022 18:55
665	5/18/2022 17:32
666	5/24/2022 18:38
667	5/16/2022 15:38
668	5/23/2022 9:35
669	5/19/2022 13:17
670	5/18/2022 4:17
671	5/16/2022 22:20
672	5/16/2022 18:12
673	5/21/2022 20:10
674	5/20/2022 8:25
675	5/24/2022 8:24
676	5/18/2022 15:00
677	5/17/2022 5:39
678	5/19/2022 3:44
679	5/24/2022 6:44
680	5/16/2022 17:04
681	5/18/2022 0:50
682	5/19/2022 10:05
683	5/23/2022 17:31
684	5/24/2022 10:08
685	5/19/2022 10:23
686	5/24/2022 5:24
687	5/19/2022 9:53
688	5/19/2022 18:54
689	5/16/2022 13:44
690	5/22/2022 18:45
691	5/24/2022 0:29
692	5/21/2022 8:49
693	5/21/2022 17:58
694	5/25/2022 4:20
695	5/18/2022 20:59
696	5/22/2022 1:01
697	5/25/2022 5:48
698	5/22/2022 15:35
699	5/19/2022 15:05
700	5/19/2022 7:18
701	5/20/2022 3:44
702	5/24/2022 16:27
703	5/21/2022 12:50
704	5/20/2022 14:13
705	5/24/2022 8:42
706	5/22/2022 0:02
707	5/18/2022 1:54
708	5/25/2022 6:30
709	5/18/2022 0:27
710	5/19/2022 2:39
711	5/25/2022 8:37
712	5/21/2022 6:27
713	5/17/2022 21:20
714	5/24/2022 9:33
715	5/17/2022 9:20
716	5/24/2022 21:52
717	5/18/2022 20:05
718	5/18/2022 3:36
719	5/22/2022 8:59
720	5/18/2022 1:51
721	5/24/2022 0:58
722	5/18/2022 5:13
723	5/17/2022 5:29
724	5/16/2022 19:10
725	5/22/2022 2:05
726	5/19/2022 8:42
727	5/23/2022 4:00
728	5/20/2022 7:37
729	5/22/2022 23:53
730	5/24/2022 2:12
731	5/17/2022 13:36
732	5/23/2022 8:28
733	5/19/2022 4:55
734	5/24/2022 8:50
735	5/17/2022 19:54
736	5/21/2022 2:37
737	5/16/2022 14:44
738	5/23/2022 9:30
739	5/17/2022 3:12
740	5/19/2022 7:04
741	5/16/2022 15:10
742	5/16/2022 16:08
743	5/20/2022 10:30
744	5/21/2022 4:51
745	5/18/2022 17:57
746	5/17/2022 6:21
747	5/23/2022 11:17
748	5/18/2022 3:25
749	5/19/2022 0:28
750	5/18/2022 5:05
751	5/23/2022 0:34
752	5/16/2022 12:34
753	5/20/2022 17:07
754	5/21/2022 5:19
755	5/19/2022 19:48
756	5/21/2022 21:41
757	5/20/2022 3:24
758	5/17/2022 4:27
759	5/24/2022 17:51
760	5/18/2022 13:09
761	5/18/2022 13:38
762	5/20/2022 11:21
763	5/17/2022 16:10
764	5/20/2022 15:11
765	5/24/2022 10:02
766	5/18/2022 8:09
767	5/22/2022 7:37
768	5/21/2022 9:10
769	5/21/2022 16:03
770	5/25/2022 6:40
771	5/23/2022 21:52
772	5/23/2022 17:38
773	5/24/2022 12:01
774	5/23/2022 4:53
775	5/21/2022 4:05
776	5/19/2022 18:16
777	5/19/2022 10:25
778	5/24/2022 2:18
779	5/17/2022 2:34
780	5/25/2022 3:01
781	5/17/2022 0:57
782	5/22/2022 23:00
783	5/19/2022 3:09
784	5/21/2022 13:14
785	5/17/2022 16:49
786	5/20/2022 8:13
787	5/16/2022 13:55
788	5/21/2022 12:33
789	5/23/2022 8:18
790	5/20/2022 7:43
791	5/22/2022 13:12
792	5/18/2022 6:12
793	5/21/2022 7:41
794	5/24/2022 18:51
795	5/24/2022 21:36
796	5/21/2022 9:35
797	5/22/2022 5:09
798	5/19/2022 2:20
799	5/23/2022 10:39
800	5/23/2022 6:38
801	5/22/2022 16:52
802	5/16/2022 23:25
803	5/19/2022 14:29
804	5/17/2022 7:38
805	5/23/2022 9:36
806	5/16/2022 22:00
807	5/24/2022 5:16
808	5/23/2022 16:49
809	5/22/2022 15:52
810	5/17/2022 2:01
811	5/19/2022 10:38
812	5/21/2022 10:22
813	5/21/2022 13:13
814	5/24/2022 8:10
815	5/24/2022 8:22
816	5/18/2022 1:23
817	5/24/2022 8:36
818	5/21/2022 18:54
819	5/22/2022 16:20
820	5/25/2022 7:45
821	5/21/2022 22:48
822	5/20/2022 2:33
823	5/22/2022 19:29
824	5/21/2022 14:38
825	5/24/2022 13:49
826	5/22/2022 9:25
827	5/17/2022 18:07
828	5/17/2022 7:45
829	5/17/2022 15:25
830	5/22/2022 16:37
831	5/20/2022 0:25
832	5/19/2022 8:35
833	5/18/2022 8:27
834	5/20/2022 15:53
835	5/18/2022 2:56
836	5/17/2022 0:44
837	5/22/2022 13:10
838	5/23/2022 4:52
839	5/25/2022 1:38
840	5/19/2022 3:42
841	5/16/2022 16:30
842	5/22/2022 18:42
843	5/22/2022 12:05
844	5/24/2022 4:36
845	5/23/2022 21:54
846	5/20/2022 20:41
847	5/16/2022 20:36
848	5/20/2022 18:41
849	5/21/2022 8:23
850	5/17/2022 23:15
851	5/22/2022 22:11
852	5/23/2022 12:04
853	5/19/2022 21:43
854	5/22/2022 22:58
855	5/23/2022 12:34
856	5/22/2022 7:35
857	5/24/2022 11:39
858	5/20/2022 23:35
859	5/20/2022 10:24
860	5/21/2022 3:22
861	5/24/2022 15:29
862	5/18/2022 0:33
863	5/19/2022 2:52
864	5/23/2022 1:00
865	5/20/2022 9:36
866	5/18/2022 6:06
867	5/25/2022 4:54
868	5/22/2022 12:45
869	5/20/2022 17:09
870	5/17/2022 23:25
871	5/20/2022 8:52
872	5/22/2022 1:40
873	5/21/2022 22:29
874	5/17/2022 0:17
875	5/19/2022 14:40
876	5/20/2022 6:52
877	5/24/2022 23:36
878	5/18/2022 7:54
879	5/17/2022 7:11
880	5/19/2022 22:59
881	5/21/2022 16:04
882	5/23/2022 14:19
883	5/21/2022 0:19
884	5/20/2022 22:55
885	5/16/2022 23:04
886	5/23/2022 1:09
887	5/20/2022 1:08
888	5/23/2022 2:00
889	5/16/2022 17:42
890	5/19/2022 4:20
891	5/23/2022 4:09
892	5/20/2022 13:30
893	5/17/2022 19:16
894	5/19/2022 13:04
895	5/23/2022 11:38
896	5/22/2022 16:24
897	5/25/2022 3:31
898	5/20/2022 4:21
899	5/24/2022 9:10
900	5/17/2022 20:43
901	5/25/2022 8:54
902	5/19/2022 2:42
903	5/19/2022 2:40
904	5/17/2022 16:37
905	5/20/2022 0:50
906	5/18/2022 13:27
907	5/21/2022 20:50
908	5/20/2022 12:32
909	5/18/2022 17:39
910	5/19/2022 0:12
911	5/22/2022 15:23
912	5/16/2022 23:35
913	5/23/2022 16:59
914	5/17/2022 8:19
915	5/24/2022 2:34
916	5/17/2022 17:43
917	5/20/2022 12:13
918	5/17/2022 8:43
919	5/20/2022 7:53
920	5/16/2022 23:42
921	5/24/2022 5:26
922	5/25/2022 6:09
923	5/24/2022 7:59
924	5/21/2022 7:59
925	5/22/2022 3:09
926	5/16/2022 15:05
927	5/21/2022 22:20
928	5/17/2022 17:15
929	5/18/2022 11:08
930	5/18/2022 21:56
931	5/23/2022 6:55
932	5/21/2022 3:44
933	5/18/2022 14:30
934	5/18/2022 19:03
935	5/22/2022 21:33
936	5/19/2022 12:09
937	5/22/2022 15:01
938	5/20/2022 16:01
939	5/17/2022 2:57
940	5/19/2022 22:54
941	5/23/2022 22:24
942	5/18/2022 19:58
943	5/19/2022 10:58
944	5/24/2022 9:32
945	5/20/2022 9:23
946	5/16/2022 12:40
947	5/20/2022 20:55
948	5/22/2022 14:10
949	5/24/2022 11:47
950	5/19/2022 15:28
951	5/18/2022 8:40
952	5/17/2022 12:17
953	5/21/2022 21:56
954	5/18/2022 14:11
955	5/16/2022 13:56
956	5/23/2022 4:52
957	5/20/2022 21:39
958	5/23/2022 9:53
959	5/24/2022 6:08
960	5/19/2022 23:42
961	5/16/2022 12:16
962	5/18/2022 3:24
963	5/18/2022 9:28
964	5/20/2022 17:32
965	5/19/2022 5:27
966	5/16/2022 20:54
967	5/21/2022 13:28
968	5/17/2022 8:26
969	5/22/2022 8:31
970	5/22/2022 2:00
971	5/24/2022 12:13
972	5/19/2022 9:07
973	5/17/2022 1:59
974	5/18/2022 8:10
975	5/23/2022 23:36
976	5/18/2022 23:58
977	5/22/2022 8:32
978	5/18/2022 7:15
979	5/17/2022 2:46
980	5/22/2022 22:06
981	5/17/2022 20:59
982	5/16/2022 14:32
983	5/22/2022 19:08
984	5/18/2022 20:49
985	5/19/2022 10:56
986	5/23/2022 8:08
987	5/23/2022 21:23
988	5/25/2022 6:49
989	5/19/2022 11:10
990	5/24/2022 4:15
991	5/19/2022 4:27
992	5/19/2022 2:49
993	5/22/2022 3:07
994	5/20/2022 21:40
995	5/22/2022 15:25
996	5/21/2022 1:35
997	5/18/2022 8:28
998	5/18/2022 9:40
999	5/22/2022 19:46
1000	5/17/2022 6:47
1001	5/19/2022 12:06
1002	5/16/2022 16:55
1003	5/16/2022 13:13
1004	5/22/2022 17:45
1005	5/24/2022 22:41
1006	5/21/2022 7:09
1007	5/18/2022 16:12
1008	5/18/2022 20:54
1009	5/21/2022 9:11
1010	5/17/2022 18:27
1011	5/17/2022 18:52
1012	5/19/2022 5:46
1013	5/23/2022 20:06
1014	5/20/2022 18:45
1015	5/17/2022 14:27
1016	5/24/2022 14:14
1017	5/17/2022 19:53
1018	5/20/2022 6:50
1019	5/20/2022 7:25
1020	5/23/2022 23:52
1021	5/23/2022 20:11
1022	5/18/2022 22:36
1023	5/23/2022 19:21
1024	5/19/2022 22:56
1025	5/17/2022 22:30
1026	5/16/2022 17:04
1027	5/20/2022 17:10
1028	5/17/2022 8:54
1029	5/21/2022 11:10
1030	5/22/2022 6:49
1031	5/19/2022 1:16
1032	5/22/2022 20:26
1033	5/23/2022 4:19
1034	5/23/2022 20:13
1035	5/17/2022 23:56
1036	5/22/2022 15:31
1037	5/16/2022 22:18
1038	5/23/2022 1:34
1039	5/21/2022 12:24
1040	5/20/2022 1:56
1041	5/22/2022 3:40
1042	5/20/2022 14:36
1043	5/22/2022 10:06
1044	5/20/2022 15:30
1045	5/24/2022 6:42
1046	5/23/2022 3:43
1047	5/22/2022 13:50
1048	5/20/2022 18:27
1049	5/21/2022 20:49
1050	5/17/2022 11:55
1051	5/19/2022 12:52
1052	5/18/2022 11:00
1053	5/23/2022 16:45
1054	5/17/2022 9:03
1055	5/20/2022 0:57
1056	5/23/2022 20:09
1057	5/20/2022 23:10
1058	5/20/2022 17:31
1059	5/17/2022 10:46
1060	5/17/2022 22:22
1061	5/23/2022 17:04
1062	5/21/2022 14:03
1063	5/16/2022 21:04
1064	5/20/2022 9:15
1065	5/16/2022 21:24
1066	5/23/2022 23:52
1067	5/18/2022 0:08
