Report_ID,Report.Status,Publication.Date,Injury.Severity,Broad.phase.of.flight,Weather.Condition,Location,Investigation.Type
127,Probable Cause,19-01-1983,Non-Fatal,Approach,VMC,"SAN PEDRO, CA",Accident
128,Probable Cause,19-01-1983,Non-Fatal,Cruise,UNK,"OSHKOSH, WI",Incident
129,Probable Cause,19-01-1983,Non-Fatal,Takeoff,VMC,"KLAMATH FALLS, OR",Accident
130,Probable Cause,19-01-1983,Non-Fatal,Landing,VMC,"DONNELLY, ID",Accident
131,Probable Cause,19-01-1983,Non-Fatal,Takeoff,VMC,"EIGHTY FOUR, PA",Accident
132,Probable Cause,20-01-1983,Incident,Takeoff,VMC,"BANDERA, TX",Accident
133,Probable Cause,20-01-1983,Fatal(2),Cruise,IMC,"OVERBROOK, OK",Accident
134,Probable Cause,20-01-1983,Fatal(3),Descent,IMC,"GRAND ISLE, LA",Accident
135,Probable Cause,20-01-1983,Fatal(1),Approach,IMC,"CRESTED BUTTE, CO",Accident
136,Probable Cause,20-01-1983,Fatal(1),Approach,VMC,"KAYCEE, WY",Accident
137,Probable Cause,20-01-1983,Non-Fatal,Landing,VMC,"BURLINGTON, CT",Accident
138,Probable Cause,20-01-1983,Non-Fatal,Landing,VMC,"LAKE GEORGE, NY",Accident
139,Probable Cause,21-01-1983,Fatal(4),Cruise,IMC,"CAMDENTON, MO",Accident
140,Probable Cause,21-01-1983,Fatal(1),Approach,IMC,"GRAND CHENIER, LA",Accident
141,Probable Cause,21-01-1983,Non-Fatal,Takeoff,VMC,"AFTON, TX",Accident
142,Probable Cause,21-01-1983,Non-Fatal,Maneuvering,IMC,"ENGLEWOOD, CO",Accident
143,Probable Cause,21-01-1983,Fatal(1),Cruise,IMC,"HOLLAND, MI",Accident
144,Probable Cause,21-01-1983,Fatal(1),Takeoff,IMC,"NEAR TYONEK, AK",Accident
145,Probable Cause,21-01-1983,Non-Fatal,Approach,VMC,"SWANSEA, SC",Accident
146,Probable Cause,21-01-1983,Non-Fatal,Landing,VMC,"TOLEDO, WA",Accident
147,Probable Cause,21-01-1983,Non-Fatal,Takeoff,VMC,"WALLINGFORD, CT",Accident
148,Probable Cause,21-01-1983,Non-Fatal,Takeoff,VMC,"FONTANA, CA",Accident
149,Probable Cause,22-01-1983,Fatal(2),Unknown,VMC,"BELTSVILLE, MD",Incident
150,Probable Cause,22-01-1983,Incident,Descent,VMC,"CHARLESTON, SC",Accident
151,Probable Cause,22-01-1983,Non-Fatal,Landing,VMC,"STATE ROAD, NC",Accident
152,Probable Cause,22-01-1983,Non-Fatal,Maneuvering,VMC,"FAIRFIELD, NJ",Accident
153,Probable Cause,23-01-1983,Fatal(1),Approach,IMC,"KELLOGG, ID",Accident
154,Probable Cause,23-01-1983,Fatal(2),Unknown,VMC,"KINGSTON, WA",Accident
155,Probable Cause,23-01-1983,Non-Fatal,Takeoff,VMC,"ST. LOUIS, MO",Incident
156,Probable Cause,23-01-1983,Fatal(2),Landing,IMC,"MISSING ACFT, AK",Accident
157,Probable Cause,23-01-1983,Fatal(1),Cruise,IMC,"ANDOVER, KS",Accident
158,Probable Cause,23-01-1983,Non-Fatal,Landing,VMC,"WYOMING, IA",Accident
159,Probable Cause,23-01-1983,Non-Fatal,Cruise,VMC,"TULSA, OK",Accident
160,Probable Cause,23-01-1983,Non-Fatal,Approach,VMC,"FAITH, SD",Accident
161,Probable Cause,23-01-1983,Fatal(2),Cruise,VMC,"GIBSON, GA",Accident
162,Probable Cause,23-01-1983,Non-Fatal,Landing,VMC,"NEAR ST. PETERS, FL",Accident
163,Probable Cause,23-01-1983,Non-Fatal,Landing,VMC,"MATTAWAN, MI",Accident
164,Probable Cause,23-01-1983,Non-Fatal,Maneuvering,VMC,"TWIN FALLS, ID",Accident
165,Probable Cause,23-01-1983,Non-Fatal,Go-around,VMC,"TOPSHAM, VT",Accident
166,Probable Cause,24-01-1983,Fatal(7),Approach,VMC,"MISSOULA, MT",Accident
167,Probable Cause,24-01-1983,Non-Fatal,Approach,UNK,"SPRINGFIELD, IL",Accident
168,Probable Cause,24-01-1983,Non-Fatal,Landing,VMC,"BRIMFIELD, IL",Accident
169,Probable Cause,24-01-1983,Non-Fatal,Standing,VMC,"MARSHVILLE, NC",Accident
170,Probable Cause,24-01-1983,Non-Fatal,Descent,VMC,"18NM ESE KETCHI, AK",Accident
171,Probable Cause,25-01-1983,Fatal(2),Cruise,UNK,"DOYLESTOWN, PA",Accident
172,Probable Cause,25-01-1983,Non-Fatal,Descent,VMC,"POINT LOOKOUT, MO",Accident
173,Probable Cause,26-01-1983,Non-Fatal,Maneuvering,VMC,"GUALALA, CA",Accident
174,Probable Cause,26-01-1983,Non-Fatal,Landing,VMC,"ALBUQUERQUE, NM",Accident
175,Probable Cause,26-01-1983,Non-Fatal,Taxi,VMC,"LANSING, MI",Accident
176,Probable Cause,26-01-1983,Non-Fatal,Landing,VMC,"SEATTLE, WA",Accident
177,Probable Cause,26-01-1983,Non-Fatal,Takeoff,VMC,"SARASOTA, FL",Accident
178,Probable Cause,26-01-1983,Non-Fatal,Cruise,VMC,"REDLANDS, CA",Accident
179,Probable Cause,27-01-1983,Fatal(1),Maneuvering,VMC,"YOUNGSVILLE, NC",Accident
180,Probable Cause,27-01-1983,Non-Fatal,Landing,VMC,"DELANO, CA",Accident
181,Probable Cause,27-01-1983,Non-Fatal,Landing,VMC,"WILMINGTON, DE",Incident
182,Probable Cause,27-01-1983,Non-Fatal,Taxi,VMC,"CLARKSVILLE, TN",Incident
183,Probable Cause,27-01-1983,Non-Fatal,Landing,VMC,"AZTEC, NM",Accident
184,Probable Cause,27-01-1983,Non-Fatal,Approach,VMC,"MCALLEN, TX",Accident
185,Probable Cause,28-01-1983,Fatal(1),Cruise,IMC,"ENGLEWOOD, CO",Accident
186,Probable Cause,28-01-1983,Non-Fatal,Takeoff,VMC,"NEAR SEWARD, AK",Accident
187,Probable Cause,28-01-1983,Non-Fatal,Approach,VMC,"FOUNTAIN, CO",Accident
188,Probable Cause,28-01-1983,Non-Fatal,Landing,VMC,"BREVARD, NC",Accident
189,Probable Cause,28-01-1983,Non-Fatal,Takeoff,VMC,"ST. IGNATIUS, MT",Accident
190,Probable Cause,28-01-1983,Non-Fatal,Approach,VMC,"WICHITA, KS",Accident
191,Probable Cause,29-01-1983,Fatal(1),Cruise,IMC,"EL MONTE, CA",Accident
192,Probable Cause,29-01-1983,Incident,Cruise,VMC,"AFTON, WY",Accident
193,Probable Cause,29-01-1983,Fatal(1),Maneuvering,VMC,"PINE MOUTAIN, GA",Accident
194,Probable Cause,29-01-1983,Non-Fatal,Maneuvering,VMC,"GUSTAVUS, AK",Accident
195,Probable Cause,30-01-1983,Incident,Landing,VMC,"LACON, IL",Accident
196,Probable Cause,30-01-1983,Non-Fatal,Climb,VMC,"KALAMAZOO, MI",Accident
197,Probable Cause,30-01-1983,Fatal(1),Takeoff,VMC,"NASHVILLE, TN",Accident
198,Probable Cause,30-01-1983,Non-Fatal,Taxi,VMC,"SUMMERVILLE, WV",Accident
199,Probable Cause,30-01-1983,Non-Fatal,Cruise,VMC,"STARRUCCA, PA",Accident
200,Probable Cause,30-01-1983,Non-Fatal,Landing,VMC,"NORCO, CA",Accident
201,Probable Cause,30-01-1983,Non-Fatal,Takeoff,VMC,"GRANDFIELD, OK",Accident
202,Probable Cause,30-01-1983,Non-Fatal,Landing,VMC,"CAREFREE, AZ",Accident
203,Probable Cause,30-01-1983,Non-Fatal,Landing,VMC,"MERCED, CA",Accident
204,Probable Cause,30-01-1983,Non-Fatal,Landing,VMC,"FREMONT, CA",Accident
205,Probable Cause,30-01-1983,Non-Fatal,Landing,IMC,"RAMONA, CA",Accident
206,Probable Cause,31-01-1983,Non-Fatal,Takeoff,VMC,"THERMAL, CA",Incident
207,Probable Cause,31-01-1983,Non-Fatal,Approach,VMC,"DAUFUSKIE ISLAN, SC",Accident
208,Probable Cause,31-01-1983,Non-Fatal,Cruise,IMC,"LUMBER CITY, GA",Accident
209,Probable Cause,31-01-1983,Non-Fatal,Landing,VMC,"RUBIDOUX, CA",Accident
210,Probable Cause,31-01-1983,Non-Fatal,Approach,VMC,"COALINGA, CA",Accident
211,Probable Cause,31-01-1983,Non-Fatal,Landing,VMC,"KING CITY, CA",Accident
212,Probable Cause,31-01-1983,Non-Fatal,Takeoff,VMC,"JEFFERSONVILLE, IN",Accident
213,Probable Cause,31-01-1983,Non-Fatal,Landing,VMC,"BATESVILLE, MS",Accident
214,Probable Cause,31-01-1983,Non-Fatal,Takeoff,VMC,"CHARLESTON, SC",Accident
215,Probable Cause,1/2/1983,Non-Fatal,Approach,IMC,"BOSTON, MA",Accident
216,Probable Cause,1/2/1983,Non-Fatal,Takeoff,VMC,"COTTON, MN",Accident
217,Probable Cause,1/2/1983,Non-Fatal,Cruise,VMC,"PULLMAN, WA",Accident
218,Probable Cause,1/2/1983,Fatal(2),Maneuvering,IMC,"EAST HANOVER, NJ",Accident
219,Probable Cause,1/2/1983,Non-Fatal,Takeoff,VMC,"JACKSONVILLE, FL",Accident
220,Probable Cause,1/2/1983,Non-Fatal,Landing,VMC,"HOBBS, NM",Accident
221,Probable Cause,1/2/1983,Non-Fatal,Landing,VMC,"TUSKEGEE, AL",Accident
222,Probable Cause,1/2/1983,Non-Fatal,Landing,VMC,"HOMER, LA",Accident
223,Probable Cause,1/2/1983,Non-Fatal,Cruise,IMC,"HEARNE, TX",Accident
224,Probable Cause,2/2/1983,Fatal(1),Approach,IMC,"NORTH KANSAS CI, MO",Accident
225,Probable Cause,2/2/1983,Fatal(2),Unknown,VMC,"15NM W. OPA LOC, FL",Accident
226,Probable Cause,2/2/1983,Non-Fatal,Landing,VMC,"BAGDAD, AZ",Accident
227,Probable Cause,2/2/1983,Non-Fatal,Landing,VMC,"10NM N. OF MCNA, AZ",Accident
228,Probable Cause,2/2/1983,Non-Fatal,Landing,VMC,"NEW ALBANY, MS",Accident
229,Probable Cause,3/2/1983,Fatal(1),Climb,VMC,"VALPARAISO, IN",Accident
230,Probable Cause,3/2/1983,Non-Fatal,Landing,IMC,"NASHVILLE, TN",Accident
231,Probable Cause,3/2/1983,Non-Fatal,Takeoff,IMC,"STATESBORO, GA",Accident
232,Probable Cause,3/2/1983,Non-Fatal,Maneuvering,VMC,"NASHVILLE, TN",Accident
233,Probable Cause,3/2/1983,Non-Fatal,Landing,VMC,"HICKMAN, CA",Accident
234,Probable Cause,3/2/1983,Non-Fatal,Cruise,VMC,"CIBOLO, TX",Accident
235,Probable Cause,3/2/1983,Non-Fatal,Approach,IMC,"BIRMINGHAM, AL",Incident
236,Probable Cause,4/2/1983,Fatal(2),Cruise,IMC,"SACRAMENTO, CA",Accident
237,Probable Cause,4/2/1983,Non-Fatal,Landing,VMC,"NEAR TEXARKANA, AR",Accident
238,Probable Cause,4/2/1983,Non-Fatal,Takeoff,VMC,"LAKERVILLE, MN",Accident
239,Probable Cause,5/2/1983,Fatal(2),Cruise,VMC,"HALF MOON BAY, CA",Accident
240,Probable Cause,5/2/1983,Fatal(4),Cruise,IMC,"HALF MOON BAY, CA",Accident
241,Probable Cause,5/2/1983,Non-Fatal,Takeoff,VMC,"MAMMOTH, AZ",Accident
242,Probable Cause,5/2/1983,Non-Fatal,Climb,VMC,"FREEMONT, MI",Accident
243,Probable Cause,6/2/1983,Non-Fatal,Taxi,VMC,"BAYPORT, NY",Incident
244,Probable Cause,6/2/1983,Non-Fatal,Unknown,IMC,"SUNFLOWER, AZ",Accident
245,Probable Cause,6/2/1983,Non-Fatal,Standing,VMC,"KINGSVILLE, TX",Accident
246,Probable Cause,6/2/1983,Non-Fatal,Taxi,VMC,"RICHMOND, IN",Accident
247,Probable Cause,6/2/1983,Non-Fatal,Landing,VMC,"KNIGHTDALE, NC",Accident
248,Probable Cause,6/2/1983,Non-Fatal,Landing,VMC,"MAUPIN, OR",Accident
249,Probable Cause,6/2/1983,Non-Fatal,Taxi,VMC,"LAKE WALES, FL",Accident
250,Probable Cause,6/2/1983,Non-Fatal,Takeoff,VMC,"CASPER, WY",Accident
251,Probable Cause,6/2/1983,Non-Fatal,Takeoff,VMC,"COLUMBUS, OH",Accident
252,Probable Cause,6/2/1983,Non-Fatal,Approach,VMC,"TERRY, MS",Accident
253,Probable Cause,6/2/1983,Non-Fatal,Landing,VMC,"EMMAUS, PA",Accident
254,Probable Cause,6/2/1983,Non-Fatal,Landing,VMC,"LEESBURG, FL",Accident
255,Probable Cause,7/2/1983,Fatal(8),Cruise,VMC,"CARTER, MT",Accident
256,Probable Cause,7/2/1983,Fatal(8),Cruise,VMC,MOCA,Accident
257,Probable Cause,7/2/1983,Non-Fatal,Landing,VMC,"NEW ORLEANS, LA",Accident
258,Probable Cause,7/2/1983,Fatal(4),Cruise,IMC,"BUTLER, PA",Accident
259,Probable Cause,7/2/1983,Non-Fatal,Takeoff,VMC,"ORMOND BEACH, FL",Accident
260,Probable Cause,7/2/1983,Non-Fatal,Landing,VMC,"WINTERS, CA",Accident
261,Probable Cause,5/5/2011,Non-Fatal,Landing,VMC,"WALDPORT, OR",Accident
262,Probable Cause,7/2/1983,Non-Fatal,Landing,VMC,"NOKOMIS, IL",Accident
263,Probable Cause,7/2/1983,Non-Fatal,Landing,VMC,"HAZLEHURST, GA",Accident
264,Probable Cause,7/2/1983,Non-Fatal,Takeoff,VMC,"MIAMI, FL",Accident
265,Probable Cause,7/2/1983,Non-Fatal,Taxi,VMC,"HAMPSTEAD, NH",Accident
266,Probable Cause,7/2/1983,Non-Fatal,Landing,VMC,"TALLAHASSEE, FL",Incident
267,Probable Cause,7/2/1983,Non-Fatal,Cruise,VMC,"MCKINNEY, TX",Accident
268,Probable Cause,7/2/1983,Non-Fatal,Landing,VMC,"LAMAR, CO",Accident
269,Probable Cause,8/2/1983,Fatal(1),Cruise,IMC,"LAMESA, TX",Accident
270,Probable Cause,8/2/1983,Non-Fatal,Climb,VMC,"CROSBY, ND",Accident
271,Probable Cause,8/2/1983,Fatal(1),Takeoff,VMC,"GAYLORD, MI",Accident
272,Probable Cause,8/2/1983,Non-Fatal,Landing,VMC,WEST DELTA 105D,Accident
273,Probable Cause,8/2/1983,Non-Fatal,Landing,IMC,"FACTORYVILLE, PA",Accident
274,Probable Cause,8/2/1983,Non-Fatal,Landing,VMC,"WENTZVILLE, MO",Accident
275,Probable Cause,8/2/1983,Non-Fatal,Approach,VMC,"FORNEY, TX",Accident
276,Probable Cause,8/2/1983,Non-Fatal,Landing,VMC,"CLEVELAND, TX",Accident
277,Probable Cause,8/2/1983,Non-Fatal,Takeoff,VMC,"PLYMOUTH, MI",Accident
278,Probable Cause,9/2/1983,Non-Fatal,Landing,VMC,"BAYPORT, NY",Accident
279,Probable Cause,9/2/1983,Fatal(1),Maneuvering,VMC,"GOLD STRIKE, NV",Accident
280,Probable Cause,9/2/1983,Incident,Takeoff,IMC,"LONGMONT, CO",Accident
281,Probable Cause,9/2/1983,Non-Fatal,Takeoff,VMC,"MAPLE LAKE, MN",Accident
282,Probable Cause,9/2/1983,Non-Fatal,Landing,VMC,"HARTLINE, WA",Accident
283,Probable Cause,9/2/1983,Non-Fatal,Go-around,IMC,"POTTER, NE",Accident
284,Probable Cause,9/2/1983,Non-Fatal,Taxi,VMC,"GRAIN VALLEY, MO",Accident
285,Probable Cause,10/2/1983,Non-Fatal,Approach,VMC,"NEW LONDON, NH",Accident
286,Probable Cause,10/2/1983,Fatal(2),Cruise,IMC,"ALVIN, TX",Accident
